Variable,coef_A,coef_B,coef_C
group_B,0.215,0.061,0.117
group_C,0.106,0.075,0.151
group_D,-0.092,0.063,0.0
group_E,-0.312,0.017,-0.246
강수,0.004,-0.004,0.001
결제수단코드_2,-0.504,-0.303,-0.212
결제수단코드_4,-0.11,0.101,0.015
결제수단코드_5,-0.461,0.096,0.256
결제수단코드_99,-0.406,-0.186,-0.134
공.예,-0.007,-0.017,-0.015
공연_오전오후_오후,,-0.199,0.001
공연_요일_Monday,-0.224,-0.067,-0.078
공연_요일_Saturday,0.0,0.0,0.0
공연_요일_Sunday,-0.069,0.0,-0.022
공연_요일_Thursday,-0.005,-0.026,0.004
공연_요일_Tuesday,0.0,-0.065,0.0
공연_요일_Wednesday,0.039,-0.011,-0.017
공연_월_10,0.0,0.034,0.005
공연_월_11,0.15,-0.059,0.164
공연_월_12,0.192,-0.101,0.121
공연_월_5,,0.013,0.028
공연_월_6,-0.387,0.0,0.0
공연_월_7,-0.295,-0.135,0.0
공연_월_8,-0.067,0.0,-0.023
공연_월_9,0.082,0.02,-0.133
공연_평일주말_평일,0.078,0.002,0.019
공연별전사코개수,-0.018,-0.001,0.025
공연시설인기_B,0.84,1.049,0.03
공연시설인기_C,-0.075,0.564,-0.018
공연시설인기_D,,0.278,0.015
공연시설인기_E,,,0.166
공연시설인기_F,,,0.053
공연횟수,-0.025,-0.001,-0.002
교통개수,0.035,0.006,0.004
내한공연.여부,,,-0.574
단독판매여부,1.396,0.207,-0.007
매출액,0.0,0.0,
미세먼지등급_1,-0.035,0.008,0.007
미세먼지등급_2,0.105,-0.073,-0.041
미세먼지등급_3,,0.263,-0.102
불쾌지수,0.003,-0.005,-0.001
성별_1,-0.092,0.011,0.301
성별_2,-0.006,0.04,0.433
세부장르명_뮤지컬,0.827,,0.13
세부장르명_악극,,,-0.033
소요시간,0.006,-0.001,0.001
수상실적개수,,0.043,0.0
순예매건수,,0.0,0.0
시설합,-0.152,0.002,-0.004
아동공연.여부,,-0.253,-0.259
예매_요일_Monday,0.022,-0.097,0.006
예매_요일_Saturday,0.0,0.058,0.0
예매_요일_Sunday,0.033,0.0,0.019
예매_요일_Thursday,-0.013,-0.048,0.032
예매_요일_Tuesday,-0.103,-0.09,0.007
예매_요일_Wednesday,-0.174,-0.055,-0.057
예매_월_10,0.328,0.024,0.103
예매_월_11,0.113,-0.104,0.019
예매_월_12,0.046,-0.277,0.149
예매_월_5,0.259,0.283,0.114
예매_월_6,0.628,0.213,0.511
예매_월_7,0.453,0.139,0.451
예매_월_8,0.37,0.06,0.539
예매_월_9,0.346,0.0,0.28
예매_평일주말_평일,-0.028,-0.061,-0.051
예매가능공연개수,-0.009,-0.006,-0.005
예매금액,0.0,0.0,0.0
예매방식코드_2,0.218,0.286,0.207
예매방식코드_3,-0.042,1.279,1.574
예매방식코드_4,-0.757,-2.374,-1.367
예매방식코드_99,0.301,0.316,0.009
일일확진자,0.0,0.0,0.0
좌석등급개수,-0.204,,
좌석수,0.0,0.0,0.0
좌석점유율,1.66,-0.889,-0.75
주차시설,,-0.22,0.155
축제.여부,,,0.163
팔로워합,0.0,0.0,0.0
할인율,-7.518,-1.287,-1.918
할인종류개수,0.016,0.007,0.004
할인종류코드_3,,,-1.393
할인종류코드_4,,0.0,
할인종류코드_99,,-0.019,0.148
